SÕNA,NÄIDE,SARNASED,TASE
kannel,Esitas kandlel paar rahvaviisi,"kannul, kannike, skanner, katel, ranne",B1
kant,Sõitsime kuskile Lasnamäe kanti,"kants, kast, kate, katk, kaun",B2
kaotus,Eesti maleva kaotus Madisepäeva lahingus,"katus, kartus, kasutus, kortsus, taotlus",B1
kapsel,Kapsel ei lase hobusel suud pärani avada,"klausel, katel, katse, kaudselt, kohapeal",B2
kapten,"Vanaisa oli suure kalalaeva kapten,","kate, katkend, katel, katse, karate",B1
kapuuts,Külgenööbitava kapuutsiga mantel,"kaugus, kuus, puus, kasutus, kauplus",B1
karastama,Sepp karastas kirvetera vees parajalt kõvaks,"karistama, karjatama, varastama, karmistama, kirjastama",B2
kardinal,"Nägime kardinali, kelle pea oli helepunane","karneval, kriminaal, marginaal, karikas, karmilt",B2
kare,Näonahk on külmaga karedaks läinud,"karge, kark, karm, karp, karu",B2
kargama,Pull kargab lehma,"kiirgama, kartma, magama, rügama, tagama",C1
karikakar,Ristikhein kirendas karikakardest,"karikas, karikatuur, karistama, rikkur, karmistama",B1
karikatuur,Sari satiirilisi karikatuure,"klaviatuur, karistus, kartmatu, prokuratuur, kartulipuder",B2
karistama,Sportlast karistati 6-kuulise võistluskeeluga,"karmistama, koristama, kaunistama, kasutama, kartma",B1
karjuma,Laps ehmatas ja jooksis karjudes ema juurde,"varjuma, kartma, kiruma, tajuma, vajuma",B1
karjäär,"Alustas oma karjääri väikese ametnikuna, kuid nüüd on minister","keelebarjäär, kitarr, käärid, äär, käärima",B1
kark,Poisid püüdsid karkudel käia,"karm, karp, karu, karv, kask",C1
karm,Ka karmi tõde ei tohi varjata,"kartma, karp, karu, karv, parm",B2
karmistama,Eluraskused on karmistanud mehe näo,"komistama, koristama, kaunistama, valmistama, vormistama",C1
karp,Mitmete limuste karpidest saadakse pärlmutrit,"karu, karv, kaup, kirp, kaupa",A2
kartma,"Kardan väga, et temaga on midagi juhtunud","katma, kartmatu, kastma, kurtma, katkema",A2
karu,Karud magavad talveund,"karv, kasu, kaua, kaun, kaup",A2
karv,Kass ajas karvad turri,"kasv, kava, korv, kurv, kõrv",B1
kas,Kas täna on esmaspäev,"kask, kass, kast, kasu, kasv",A1
kass,"Kass näub, kräunub, karjub, turtsub, lööb nurru","kassa, kauss, klass, kast, kasu",A1
kastma,Igal hommikul kasteti muru,"katma, kasutama, kestma, kostma, kasvatama",B1
kasu,See mees oskab kasudega kaubelda,"kasum, kasutu, kasv, kaua, kaun",A2
kasutama,Söömisel kasutame nuga ja kahvlit,"käsutama, kasvatama, katsetama, kehastama, kustutama",A1
kasutu,Võib-olla võtaks keegi kätte ja lõhuks katlamajast välja kasutud katlad,"kasutus, käsutus, okaspuu, uuskasutus, katus",B2
kasv,Tema teod näitavad jõhkruse kasvu,"kasvõi, kava, okas, rasv, kasvaja",A2
kasvaja,Vähk on kattekoe pahaloomuline kasvaja,"kasvataja, kasvama, kasvatama, kava, vaja",B2
kasvama,Ta kasvas teadlikuks võitlejaks,"kasvatama, kisama, kuvama, kasvataja, katsetama",A1
kasvatama,"Lõunas kasvatatakse troopikapuuvilju, viinamarju, teed","katsetama, kavaldama, kavandama, kavatsema, kehastama",A2
kasvatus,Täieliku looduslapsena puudus tal kasvatus,"kavatsus, kavalus, rasvatu, katus, katsetus",B1
katk,Sõjad ja katk hävitasid suure osa rahvast,"katki, matk, katkema, katkend, katkine",B2
katkestama,Liiklus on halbade teeolude tõttu katkestatud,"katsetama, tõkestama, kehtestama, teostama, tõestama",B1
katki,Tüdruk hammustab niidi katki,"katkine, kohati, katlakivi, kaugeltki, küllaltki",A2
katma,Suurt osa Gröönimaast katab igijää,"katsuma, kattuma, kütma, matma, kratsima",B1
katse,Kuulitõukaja paar esimest katset ebaõnnestusid,"katus, kutse, katseaeg, katsetus, maitse",B1
katsetama,Moekunstnik katsetas mitmesuguseid värvikombinatsioone,"maitsestama, kavatsema, kehastama, külastama, küpsetama",B1
kattuma,Põhipunktides tunnistajate seletused kattusid,"mattuma, sattuma, nakatuma, kehastuma, kohastuma",B2
katus,"Vihmapiisad, raheterad rabisevad vastu katust","kauss, kaust, kütus, matus, kavatsus",A2
kaudne,Selles lauses peitus kaudne küsimus,"kuldne, raudne, kaun, ligikaudne, kaudu",B2
kauge,Meile pole ükski teekond liiga kauge,"kaugel, kaugele, kaugelt, kaugõpe, lauge",A2
kaugel,Kui kaugel te olete ja millal kohale jõuate,"kaugele, kaugelt, kaugeltki, kaugõpe, klausel",A2
kaugelt,Ta alustas omajuttu väga kaugelt,"kaugeltki, kaugõpe, kaunilt, kergelt, klausel",A2
kaugenema,Aegade jooksul on sugulaskeeled üksteisest tublisti kaugenenud,"sagenema, kuumenema, kõrgenema, tugevnema, kulgema",B2
kaugus,Kaugusest paistsid lumised mäetipud,"kuus, kauplus, kaugushüpe, kauss, kaust",B1
kaugushüpe,"Tuli, jäi kaugushüppes teiseks","kõrgushüpe, kaugõpe, kauplus, klausel, kuupäev",B2
kaun,"Punapipra rohelised, punased kaunad","kaunis, kaup, kuna, kuni, saun",B2
kauplema,Kauplesin hinnast viiskümmend rubla alla,"kulgema, suplema, kuluma, kuulma, laulma",B1
kauplus,Kogu ümbruskonna kauplustes olid järsku naelad otsa saanud,"kultus, kuulus, kulu, kuus, kavalus",A1
kaust,Reekodarad ja kaustad tehti enamasti kasest,"kust, kaustik, kunst, taust, kus",B2
kaustik,Kaustikus on veel tühje lehti,"kunstlik, kunstnik, kuristik, nastik, vastik",B2
kavalus,Isa kasutas eelisõiguse saamiseks kavalust,"valus, kavatsus, valdus, valgus, kõrvavalu",B2
kavandama,Kavandati kosmose uurimise kompleksprogramm,"maandama, taandama, kohandama, majandama, pahandama",B1
keel,Külalise keel oli kohalolijate jaoks võõras,"keeld, keskel, kestel, keep, kelk",A1
keelama,"Poiss tahtis uisutada, aga ema keelas","keerama, neelama, keema, keelustama, keelduma",B1
keeld,See keeld jäi aastateks kehtima,"keelduma, kelder, keskel, kestel, keep",B1
keelduma,Keeldusin nõutud summat maksmast,"sukelduma, keelustama, keskenduma, peegelduma, keema",B1
keelebarjäär,Keelebarjääri tõttu ei saanud me teineteisest päriselt aru,"keerlema, meelehärm, keskele, käelaba, meelega",B2
keema,Tegi tule alla ja ajas vee keema,"keemia, keetma, keerama, kreem, skeem",B1
keemiline,Aine keemilised omadused,"keraamiline, keeruline, keevaline, koomiline, kosmiline",B1
keep,"Noormees kandis keepi, tal oli keep üll, õlgadel","kleeps, kepp, kere, seep, kerge",B1
keerama,Keerab kruvikeerajaga kruvisid paika,"keerutama, keerlema, keetma, kerima, keevitama",A2
keeris,Ujuja sattus keerisesse ja uppus,"kleebis, kriis, keerukas, keerukus, keeruline",B2
keerlema,Poisikesed keerlesid uudishimulikult ümber auto,"veerema, kibelema, kogelema, kõnelema, tegelema",B1
keerutama,Veekeeris keerutas paati ühel kohal,"keetma, keevitama, kelgutama, kergitama, kirjutama",B2
keetma,Putru tuleb keeta tasasel tulel,"kestma, reetma, veetma, keevitama, kehtima",A2
keevitama,Metalle keevitama,"kehitama, levitama, kergitama, käivitama, lehvitama",B2
kehaosa,Milline kehaosa sai vigastada,"kehastama, kehastuma, kehitama, kehvasti, ketas",A2
kehastama,Tootsi kehastas lavastuses üks 8. klassi õpilane,"kehastuma, kehtestama, kehitama, reastama, kestma",B2
kehastuma,Ta oli kehastunud tähelepanu,"kohastuma, kestma, kibestuma, kohustuma, rikastuma",B2
kehtivusaeg,"Lepingu, liiklusmärgi kehtivusaeg","keskaeg, kestvus, keskaegne, keiser, kestus",B2
kelder,Talu kivist kelder oli keset õue,"kelner, teler, klaver, kuldne, kuller",A2
kelgutama,Lapsed on nõlvakul kelgutamas,"kulutama, kergitama, kuulutama, kõigutama, külmutama",B2
kelk,Lapsed istusid kelgul,"kell, kesk, nelk, pelk, telk",B2
kell,Ilusa kõlaga kell,"koll, kull, küll, sell, kelluke",A1
kena,Neil oli omavahel päris kena klapp,"kera, kuna, kenasti, ketas, kevad",A2
kepp,Teekäijal oli kott seljas ja kepp käes,"kopp, käpp, lepp, sepp, kingsepp",B1
keraamiline,Keraamilised plaadid põrandale või seintele,"traagiline, kraadine, rahaline, mehaaniline, orgaaniline",B2
kerge,Oma kogu kohta on ta haruldaselt kerge,"kergelt, kõrge, kergesti, kergus, kõrgel",A1
kergelt,Ta köhatas kergelt ja jätkas siis,"kõrgelt, kergesti, kõrgel, keskelt, kiirelt",B1
kergendama,"Seljakotid olid liiga rasked, neid tuli kergendada","kõrgendama, kiirendama, nõrgendama, tervendama, kergendus",B2
kergitama,Mõisnik kergitas renti,"teritama, ärgitama, kerima, koristama, kägistama",B2
kerkima,Piimale kerkib seismisel koor peale,"kodeerima, kopeerima, šokeerima, kinkima, koorima",B2
keskaeg,See toimus keskaja lõpus,"keskaegne, keskel, keskne, keskele, keskelt",B2
keskaegne,Vanalinn on säilitanud keskaegse ilme,"keskne, keskele, keskealine, keskpärane, keskmine",A2
keskealine,Keskealine abielupaar,"keskele, kesklinn, keskmine, päikeseline, keskel",B1
keskel,Poiste keskel oli sellest juba varem juttu,"keskele, keskelt, keskne, kestel, keskmiselt",A1
keskele,"Laud on jagatud kaheks, keskele on pandud papitükk","keskelt, keskne, kestel, kuskile, skelett",B1
keskelt,Püüdsime teisel poolajal ülearu sageli keskelt läbi murda,"keskmiselt, koheselt, keskne, kestel, kest",B2
keskenduma,Laps ei suuda veel vajalikul määral keskenduda,"veenduma, oksendama, rakenduma, kiskuma, meenuma",B1
keskharidus,Omandas õhtukoolis keskhariduse,"kutseharidus, kõrgharidus, keskus, külmetushaigus, põhiharidus",B1
keskkond,Kõrbetaimed on keskkonnaga hästi kohanenud,"keskkool, meeskond, looduskeskkond, keskne, kihelkond",B1
keskkool,Astus keskkooli,"kokakoola, kutsekool, kunstikool, rakenduskõrgkool, kolesterool",B1
kesklinn,Ta elab kesklinnas,"keskmine, keskne, linn, pealinn, päikeseline",A2
keskmine,"Vanem põlvkond mäletab neid aegu hästi, keskmine vaid juttude järgi","keskne, keskmiselt, maksmine, seesmine, kosmiline",A1
keskmiselt,"Elame keskmiselt, pole viga","peamiselt, kuskilt, sisemiselt, koheselt, tõsiselt",A2
keskne,Keskne juhtimine,"keskpärane, keskpäev, keskus, kesköö, kestel",B2
keskpärane,Etendus on üsna keskpärane,"käepärane, tõepärane, säärane, salapärane, sihipärane",B2
keskus,Luureandmed anti keskusele edasi raadio teel,"kestus, kestvus, ostukeskus, oskus, üksus",A2
kestma,"Pidu kestis mitu päeva, hommikuni","kostma, vestma, kibestuma, tõkestama, kostuma",A2
kett,Panin koera ketti,"makett, pakett, pikett, rakett, kott",B1
kevadine,Jägala jõel kestab kevadine suurvesi,"kraadine, vaikne, vaimne, kõrvaline, lõhkeaine",B1
kibe,Hoolimatus teeb meele kibedaks,"kile, kobe, libe, käibele, kibelema",B1
kibelema,Eit kibeles uudishimus,"käibele, kiitlema, kogelema, kõnelema, rabelema",C1
kibestuma,Ta võttis arvustust isikliku solvamisena ja kibestus,"kiskuma, kitkuma, kostuma, kustuma, käituma",B2
kihelkond,See oli üle kihelkonna kuulus talu,"kilpkonn, koolkond, kilone, kümmekond, seltskond",B2
kiht,Järve põhjas oli paks kiht muda,"kihvt, kits, koht, koit, kõht",B2
kihutama,"Ta kihutas, nii kuidas jalad võtsid, tulistvalu peitu","nihutama, kimbutama, kirjutama, kohustama, kõigutama",B2
kihvt,See on väga kihvt mäng,"kits, kivi, koht, kohv, koit",B2
kiinduma,Poisi pilk kiindus sõbra näkku,"kiindumus, kiirendama, koonduma, painduma, piirduma",B2
kiir,Välisvalgusest ei tungi siia ükski kiir,"kiire, kiirus, kiiver, kirg, kiri",B2
kiire,Hobune laskis kiiret traavi,"kiirelt, kiirtee, kirje, kirre, kiiresti",A2
kiiremini,See salv aitab haavadel kiiremini paraneda,"kiiresti, paremini, kiirendus, kiirenema, kiirendama",A2
kiirendama,Katalüsaatorid kiirendavad või aeglustavad reaktsiooni kulgu,"kiirenema, kirjeldama, kitsendama, kõrgendama, liigendama",B1
kiirenema,"Tempo kiirenes kolme meetrini sekundis, kahelt meetrilt kolmele meetrile sekundis","piirnema, kõrgenema, kiirtee, kreem, kiirgama",B2
kiirgama,Kristall ja kalliskivid kiirgavad,"piirama, kiirustama, siirdama, kiitma, kirgas",B2
kiirus,Jätkasime oma teekonda samasuguse kiirusega nagu seni,"kiitus, siirus, viirus, kiirustama, kirju",B1
kiirustama,"Poisid kiirustasid pooljoostes tuppa, sõbrale appi","kriimustama, kirjutama, tiirutama, kiusama, kinnistama",B1
kiitma,Õpetaja kiitis isale poisi hoolikust ja täpsust,"kliima, koitma, köitma, liitma, niitma",A2
kiitus,"Tema kiituseks peab ütlema, et ta on väga püüdlik","kingitus, kinnitus, kits, riietus, kriimustus",B1
kiiver,Kaitseks troopikapäikese eest kanti spetsiaalseid kiivreid,"kiivi, kõver, käive, kirves, klaver",B1
kild,Põrandal oli lauanõude kilde,"kile, kilo, kilp, kilu, kuid",B2
kile,Tema kile tiiskant kostis üle teiste lauljate häälte,"kilone, kilo, kilp, kilu, kole",B1
kilp,Naabrimees keevitas uksele kolmemillimeetrisest metallist kilbi ette,"kilu, kimp, kips, kirp, kulp",B2
kimalane,Mättas oli kimalaste pesa,"mahlane, kuumalaine, külmalaine, kriminaalne, uimane",B2
kindlalt,"See on kindlalt nii, nagu ütlesin","kindlasti, kindral, kindlameelne, kindlus, kindlustus",B1
kindlus,"Rahuliku, raudse, vääramatu kindlusega öeldud sõnad","kindlustus, üksindus, kindlustama, sihikindlus, kirjandus",B1
kindlustama,Kraavi külgi tuleb kindlustada varisemisohu vastu,"vaidlustama, kiusama, kindlustusmakse, kindlustus, kinnistama",B1
king,Jalad hakkasid katkistes kingades külmetama,"kink, kino, kirg, kong, ning",A2
kinkima,Kinkis õele sünnipäevaks koerapoja,"kliima, kinnitama, kinnituma, kiskuma, kitkuma",A2
kinnas,Sirutas mulle kindas käe,"pinnas, kinni, sinna, kinnistu, kinnitus",A2
kinni,"Laps hoiab emal käest, seelikusabast kinni","kinnine, kinnistu, kinnitus, künnis, kinnitama",A1
kinnine,Ta on kinnine ja umbusklik mees,"sinine, tunnine, äkiline, kinnisidee, kliiniline",B1
kinnistama,Kirjastus kinnistas teosele toimetaja,"kinnitama, kinnistuma, kinnituma, õnnistama, kinnisvara",B2
kinnitama,"Kinnitasime, et tuleme ka järgmisel päeval","kinnituma, käivitama, punnitama, sünnitama, vannitama",B1
kinnitus,Oma väite kinnituseks tõi ta järgmised faktid,"sünnitus, õnnistus, õnnitlus, künnis, linnus",B1
kiosk,"Kioskis müüdi jäätist, ajalehti ja muud pudi-padi","kosk, kips, kirjaoskus, kisa, kiskuma",B1
kips,Haavatul oli jalg puusani kipsis,"kriips, kirp, kisa, kits, kops",B2
kirg,Nii meest kui naist valdas meeletu kirg,"kirgas, kirurg, kiri, kirp, kurg",B1
kirglikult,Ta kaitses kirglikult oma seisukohti,"kirjalikult, tinglikult, korralikult, pidulikult, piltlikult",B2
kiri,"Kleepis kirja kinni, pani posti ja saatis vennale","kirik, kirp, kivi, kuri, kõri",A1
kirik,Millise kiriku liige sa oled,"kiriklik, kirjalik, kirjanik, kährik, virsik",A2
kirjalikult,Küsimusi esitati lektorile nii suuliselt kui ka kirjalikult,"korralikult, üksikasjalikult, rahulikult, kirjanik, põhjalikult",B1
kirjandus,Tundis juba varakult huvi kirjanduse vastu,"kirjanduslik, kirjastus, kirjeldus, kirjaoskus, kirju",A2
kirjastus,Käsikiri on kirjastusele üle antud,"kurvastus, kirjavahetus, kirju, kirss, kirst",B1
kirjutama,Mees ei oska lugeda ega kirjutada,"kujutama, sirutama, virutama, kiruma, korrutama",A1
kiruma,Juhatajat kirutakse teravalt tema saamatuse pärast,"kuma, kiskuma, kitkuma, kiusama, kooruma",C1
kisa,Pekstava kisa kostis kaugele,"kisama, kitsas, kits, kuis, köis",B1
kiskuma,Kiskusin uppuja paati,"kitkuma, kõikuma, paiskuma, seiskuma, kosuma",B2
kitarr,"Keegi tinistas, plõnksutas kitarri","kitsas, koitma, köitma, kitkuma, käituma",B1
kits,Hüpati üle kitse,"kitsas, koit, kuis, köis, vits",B1
kitsas,Rebis paberi küljest kitsa riba,"kitsaskoht, otsas, pitsa, kitsikus, kiusatus",A1
kiusama,"Lase lahti, mis sa minust kiusad","kriimustama, kumama, kuvama, lisama, kohustama",B1
klahv,Kirjutaja sõrmed liikusid kiiresti klahvidel,"krahv, klaver, kohv, kola, kõla",B1
klammerduma,Klammerdub iga pääsemisvõimaluse külge,"kummarduma, laduma, lammutama, takerduma, kulmineeruma",C1
klappima,"Ta on tujust ära, kui mõni asi ei klapi","lappima, kloppima, lappama, leppima, nappima",B2
klass,Poeg läheb sügisel teise klassi,"klassik, külas, klassika, külastus, las",A1
klassifitseerima,"Seda teost, ainet ei õnnestunud klassifitseerida ühtegi teadaolevasse rühma","kvalifitseerima, ratifitseerima, kvalifitseeruma, komplitseerima, kritiseerima",B2
klassik,Noor kunstnik on saanud mõjutusi klassikutelt,"klassika, klassiõde, külaskäik, klassikaline, laik",B2
klassika,Kontserdi esimese poole kavas oli klassika,"klassikaline, laskma, klassiõde, külaskäik, klassivend",B1
klassikaline,Tal on klassikalised näojooned,"massiline, külaline, muusikaline, taktikaline, klassiõde",A2
klaver,Klaver oli häälest ära,"kõlar, kõver, laser, kohver, kuller",B1
kleepima,Akendele kleebiti ristamisi paberiribasid,"kleepuma, leppima, kloppima, lepitama, kleeps",B1
klient,Juuksur teenindab oma kliente eeskujulikult,"klientuur, lint, kompliment, kolin, litsents",A1
kloun,Klounide naljad olid võrdlemisi labased,"kodune, kodunt, koguni, kolonn, koolon",B1
klubi,Ta kuulub raamatusõprade klubisse,"ööklubi, kui, kumbki, kolb, kubu",A2
koalitsioon,Pahempoolsed parteid moodustasid omavahel koalitsiooni,"kollektsioon, kvalifikatsioon, positsioon, kombinatsioon, korporatsioon",B2
kobras,Küttis taigas soobleid ja kopraid,"koobas, korras, korraks, korts, kontrast",B2
kodanik,Eesti Vabariigi kodanik,"kodanlik, omanik, osanik, kolmandik, kodanikupäev",B1
koduloom,Koer on meie kõige esimene koduloom,"kondoom, kodumaa, kolm, korduma, loom",B1
kodune,"Peol oli mõnus, kodune õhkkond","kodunt, kunde, udune, kogunema, kudumine",A2
kogema,Sellist tunnet koges ta esmakordselt,"kogemata, kogunema, koguma, koma, kogemus",B1
kogemata,See juhtus kogemata,"kogenematu, kogunema, koguma, kogemus, koma",B1
kogemus,Teadmine tuleb alles kogemuste kaudu,"kogus, olemus, kogu, kogenud, kogudus",B1
kogenematu,Ta on seda laadi asjaajamistes veel üsna kogenematu,"kogunema, kõrgenema, kogenud, olematu, olenema",B2
kogenud,Kogenud kõrv tabab iga kõrvalheli masina rütmilises müras,"kogu, kogudus, kogukond, kogum, kogus",B1
kognitiivne,kognitiivne psühholoogia,"positiivne, konservatiivne, konstruktiivne, kvantitatiivne, kogunisti",C1
kogudus,Orel hakkas mängima ja kogudus alustas laulu,"kogus, kordus, kuus, kuuldus, kogukond",B2
koguma,Vili koguti salve,"kogunema, kosuma, koma, kuma, kogumik",A2
kogunema,Saali kogunes õhtupoolikuti inimesi,"kohanema, koosnema, kujunema, lagunema, segunema",B1
koguni,"Talurahva elujärjes polnud paranemist märgata, mõnel pool oli see koguni halvenenud","kogunisti, kuni, kogus, kohtunik, kui",B2
kohaldama,Ohtlike kurjategijate suhtes amnestiat ei kohaldata,"kohandama, korraldama, kolama, kohanduma, kohendama",B2
kohale,Jõudsime kohale ja kõigepealt tervitasime kõiki,"kohalt, kohane, kohe, kole, kohalik",A1
kohalik,Kas sa oled kohalik,"korralik, kohalt, kohati, kohvik, kolmik",B1
kohapeal,"õidame sinna, eks kohapeal selgub, mis vaja teha","kohapealne, kohaselt, koppel, pikapeale, kohe",B1
kohaselt,Sel üritusel peab käituma piisavalt kohaselt,"koheselt, omaselt, vihaselt, nõuetekohaselt, kohati",B2
kohati,"Tänaseks on oodata pilves ilma, kohati sajab","kohatu, koht, kohting, kohta, kohtunik",B1
kohe,Kohe pärast sööki asuti teele,"kohev, kohene, kohuke, kohver, koht",A1
kohendama,Kohenda oma väljanägemist enne minekut,"koondama, loendama, ühendama, lahendama, lühendama",B2
koht,Pirukas oli mõnest kohast kõrbenud,"kohta, oht, kohv, koit, kont",A1
kohtuma,Saadikukandidaat kohtus oma valijatega,"kohustuma, kostuma, koitma, kostma, kosuma",A1
